Column|Class
CATSTC|character
CODCAR|character
LIBCAR|character
CATEU|character
COUL|character
INDUTI|character
PAYPVN|character
CODMRQ|character
LIBMRQ|character
TYPUSI|character
TYPCOM|character
PVRNUM|character
PVRVAR|character
PVRVER|character
DATCIRPRM|myDate
DATCIR_GD|myDate
DATCIR|myDate
DATHORCIR|myDate
MVID|double
MMA|double
MMAENS|double
MMAATT|double
MMARSF|double
MMARAF|double
I4X4|character
ABS|double
ASR|double
PLAAVA|double
PLAARR|double
PLASAV|double
PLASAR|double
PLADEB|double
PLAASS|double
LON|double
LAR|double
HAU|double
ESSIM|double
ESTAN|double
ESTRI|double
EMPMAX|double
LARES1|double
LARES2|double
TYPMOT|character
CODCRB|character
LIBCRB|character
NBRCYL|double
PKW|double
CYD|double
INFOUTI|character
INFCO2|double
L100KM|double
INFPARTICULE|double
INFNOX|double
EUNORM|character
