OPE                  Code Opération                                     Operation Code
CATSTC               Code Catégorie Statec                              Category Code Statec
CODCAR               Code Carrosserie Européen                          European Bodywork Code
LIBCAR               Libellé Carrosserie                                Bodywork wording
CATEU                Code Catégorie Européenne                          European Category Code
COUL                 Couleur                                            Color
INDUTI               Indication d'utilisation                           Indication of use
PAYPVN               Code du pays de provenance                         Country of origin code
CODMRQ               Code marque                                        Manufacturer Code
LIBMRQ               Libellé marque                                     Manufacturer wording
TYPUSI               Type usine                                         Type
TYPCOM               Désignation commerciale                            Commercial name
PVRNUM               Numéro PVR                                         EC type approval number
PVRVAR               Variante PVR                                       Variant
PVRVER               Version PVR                                        Version
DATCIRPRM            Date de première mise en circulation               Date of first registration 
DATCIR_GD            Date de première mise en circulation au Luxembourg Date of first registration in Luxembourg
DATCIR               Date de mise en circulation par le propriétaire    Date of the registration to which this certificate refers
DATHORCIR            Date de mise hors circulation                      Off road declaration date
MVID                 Masse à vide                                       Mass in running order in kg
MMA                  Masse maximale autorisée                           Technically permissible maximum laden mass in kg
MMAENS               MMA ensemble                                       Technically permissible maximum mass of the combination in kg
MMAATT               MMA point d'attelage                               Technically permissible maximum static vertical mass at the coupling point in kg
MMARSF               Masse remorquable sans freinage                    Technically permissible maximum towable mass in case of brakeless trailer in kg
MMARAF               Masse remorquable avec freinage                    Technically permissible maximum towable mass in case of centre-axle trailer in kg
I4X4                 Indicateur 4x4                                     4x4 Indicator
ABS                  Indicateur ABS                                     ABS Indicator
ASR                  Indicateur ASR                                     ASR Indicator
PLAAVA               Nombre Places Avant                                Number of front seats
PLAARR               Nombre Places Arrière                              Number of back seats
PLASAV               Nombre Spécifique Avant                            Number of specific front seats
PLASAR               Nombre Spécifique Arrière                          Number of specific back seats
PLADEB               Places Debout                                      Number of standing places
PLAASS               Places Assises                                     Number of sitting places
LON                  Longueur                                           Length
LAR                  Largeur                                            Width
HAU                  Hauteur                                            Height
ESSIM                Nombre d'essieux simples                           Number of simple axles
ESTAN                Nombre d'essieux tandem                            Number of tandem axles
ESTRI                Nombre d'essieux tridem                            Number of tridem axles
EMPMAX               Empattement Maximal                                Wheelbase
LARES1               Largeur voie Essieu 1                              Axle(s) track 1
LARES2               Largeur voie Essieu 2                              Axle(s) track 2
TYPMOT               Type moteur                                        Engine code as marked on the engine
CODCRB               Code carburant                                     Fuel code
LIBCRB               Libellé Carburant                                  Fuel
NBRCYL               Nombre de cylindres                                Number of cylinders
PKW                  Puissance                                          Maximum net power
CYD                  Cylindrée                                          Engine capacity
INFOUTI              Info Utilisateur                                   User information
INFCO2               Emissions CO2 en g/km (combiné)                    CO2 emissions in g/km (Combined)
L100KM               Consommation en l/100km (combiné)                  Fuel consumption in l/100km (Combined)
INFPARTICULE         Emission de particules en g/km                     Exhaust emissions particulates (mass in g/km)
INFNOX               Emissions Nox en g/km                              Exhaust emissions Nox in g/km
EUNORM               Euronorme                                          Exhaust emission level
